year,month,day,co2_concentration,ch4_concentration,co2e,decimal_year
1987,4,3,350.84,1.70002,393.34049999999996,1987.2554794520547
1987,4,4,350.28,1.69427,392.63674999999995,1987.2582191780823
1987,4,5,350.4,1.69821,392.85524999999996,1987.2609589041097
1987,4,9,349.47,1.67721,391.40025,1987.271917808219
1987,4,10,349.81,1.67019,391.56475,1987.2746575342467
1987,4,11,350.01,1.68991,392.25775,1987.277397260274
1987,4,13,350.13,1.68973,392.37325,1987.2828767123287
1987,4,14,350.56,1.69159,392.84975,1987.285616438356
1987,4,15,350.33,1.6791300000000002,392.30825,1987.2883561643835
1987,4,16,351.33,1.6915799999999999,393.61949999999996,1987.291095890411
1987,4,17,351.18,1.69048,393.442,1987.2938356164384
1987,4,18,351.23,1.68967,393.47175000000004,1987.2965753424658
1987,4,19,351.1,1.68829,393.30725,1987.2993150684931
1987,4,20,351.72,1.69191,394.01775000000004,1987.3020547945205
1987,4,21,351.58,1.6953699999999998,393.96425,1987.304794520548
1987,4,22,351.21,1.7082000000000002,393.91499999999996,1987.3075342465754
1987,4,23,351.23,1.7039600000000001,393.829,1987.3102739726028
1987,4,24,351.33,1.7107700000000001,394.09925,1987.3130136986301
1987,4,25,351.02,1.69321,393.35024999999996,1987.3157534246575
1987,4,26,351.23,1.68693,393.40325,1987.3184931506848
1987,4,27,351.61,1.71991,394.60775,1987.3212328767124
1987,4,28,351.68,1.71979,394.67475,1987.3239726027398
1987,4,29,351.04,1.69477,393.40925000000004,1987.3267123287671
1987,5,1,350.95,1.69843,393.41075,1987.3333333333333
1987,5,4,352.38,1.7284700000000002,395.59175,1987.3415525114156
1987,5,5,352.16,1.7128299999999999,394.98075,1987.344292237443
1987,5,6,352.27,1.7046800000000002,394.887,1987.3470319634703
1987,5,7,352.12,1.70511,394.74775,1987.3497716894976
1987,5,8,352.11,1.7163599999999999,395.019,1987.352511415525
1987,5,9,351.9,1.70284,394.471,1987.3552511415523
1987,5,10,351.92,1.6948800000000002,394.29200000000003,1987.35799086758
1987,5,11,351.8,1.7009,394.3225,1987.3607305936073
1987,5,12,351.56,1.6889100000000001,393.78275,1987.3634703196346
