Entity,Year,Other,Solar,Wind,Hydro
EU,1965,2.909,0,0,211.80603
EU,1966,3.979,0,0,230.45381
EU,1967,4.316,0,0,222.19263
EU,1968,4.818,0,0,226.5809
EU,1969,5.243,0,0,222.4579
EU,1970,6.940266,0,0,234.72273
EU,1971,7.057851,0,0,233.22775
EU,1972,6.925944,0,0,244.8364
EU,1973,7.442191,0,0,243.5321
EU,1974,7.829309,0,0,263.01743
EU,1975,8.282595,0,0,264.90546
EU,1976,8.305585,0,0,231.1628
EU,1977,8.646165,0,0,307.5857
EU,1978,9.1188545,0,0.003,299.47946
EU,1979,9.285328,0,0.006,313.9237
EU,1980,10.387278,0,0.0105,297.70767
EU,1981,10.08439,0,0.0105,293.823
EU,1982,9.287153,0,0.0185,288.88766
EU,1983,9.568938,0,0.0301,294.68158
EU,1984,9.946245,0,0.0382,298.8656
EU,1985,10.981506,0,0.0574,304.63483
EU,1986,11.802871,0,0.1336,287.77554
EU,1987,11.601265,0,0.1908,315.98
EU,1988,12.376092,0,0.3297,333.6034
EU,1989,12.7941675,0.009090909,0.5064,272.73294
EU,1990,17.354042,0.011455,0.7704604,284.9162
EU,1991,17.879808,0.01352,0.970428,298.0841
EU,1992,18.720934,0.022082,1.5016481,310.6262
EU,1993,20.526823,0.028355,2.0669987,318.56485
EU,1994,21.334034,0.0296395,2.6344247,327.974
EU,1995,23.440554,0.038877,3.4706535,326.97034
EU,1996,23.38608,0.04079341,4.3409996,325.4711
EU,1997,27.91499,0.049934246,6.6253376,335.05988
EU,1998,30.97517,0.0590805,10.284428,345.84433
EU,1999,31.643864,0.06921506,13.352978,343.64407
EU,2000,34.554264,0.05714925,21.423986,356.28894
EU,2001,37.62774,0.1737815,25.84902,375.75275
EU,2002,43.15997,0.291148,35.06749,316.47037
EU,2003,49.1595,0.44112274,43.298035,306.85254
EU,2004,58.79699,0.7221619,57.50379,325.8097
EU,2005,66.87682,1.4765953,68.09771,307.47034
EU,2006,75.98148,2.5267808,78.714035,311.1783
EU,2007,84.72545,3.8270638,99.91396,309.23315
EU,2008,94.23197,7.526779,113.234535,327.50626
EU,2009,103.14655,14.2401085,124.325356,330.16736
EU,2010,117.50282,23.347221,139.24428,373.8709
EU,2011,125.327545,46.705364,164.80656,307.20193
EU,2012,139.1348,70.192314,187.39543,330.67297
EU,2013,145.03648,83.40955,209.52415,366.6918
EU,2014,151.03098,92.83298,220.77077,368.82547
EU,2015,156.50716,99.7227,263.13577,335.00162
EU,2016,157.99951,99.953094,266.7539,344.78296
EU,2017,160.9484,106.732346,312.2475,293.25397
EU,2018,162.75403,113.39873,320.54285,342.68448
EU,2019,166.58623,124.14498,364.40314,317.19803
EU,2020,168.58524,144.40404,397.36908,345.8846
EU,2021,176.03152,163.10626,386.34805,347.27124
EU,2022,173.99644,207.2401,420.48444,276.86017
UK,1965,0,0,0,4.612
UK,1966,0,0,0,4.536
UK,1967,0,0,0,4.885
UK,1968,0,0,0,3.722
UK,1969,0,0,0,3.256
UK,1970,0,0,0,4.536
UK,1971,0,0,0,3.373
UK,1972,0,0,0,3.373
UK,1973,0,0,0,3.838
UK,1974,0,0,0,4.071
UK,1975,0,0,0,3.838
UK,1976,0,0,0,4.536
UK,1977,0,0,0,3.954
UK,1978,0,0,0,4.071
UK,1979,0,0,0,4.303
UK,1980,0,0,0,3.954
UK,1981,0,0,0,4.419
UK,1982,0,0,0,4.536
UK,1983,0,0,0,4.536
UK,1984,0,0.001010101,0,4.536
UK,1985,0,0.001010101,0,3.9542
UK,1986,0,0.001010101,0,4.7683
UK,1987,0,0,0,4.1868
UK,1988,0,0.001010101,0,4.8846
UK,1989,0,0,0.009,4.7683
UK,1990,0.5958,0,0.009,5.1172
UK,1991,0.6879,0,0.009,4.5357
UK,1992,0.9342,0,0.033,5.3498
UK,1993,1.198,0,0.217,4.3031
UK,1994,1.5185,0,0.344,5.1172
UK,1995,1.6416,0,0.392,4.652
UK,1996,1.8046,0,0.488,3.39596
UK,1997,2.1098,0,0.667,4.39614
UK,1998,2.6542,0,0.877,5.1176143
UK,1999,3.4291,0.001,0.85,5.335597
UK,2000,3.8818,0.001,0.946,5.0857453
UK,2001,4.526,0.002,0.965,4.054648
UK,2002,5.0801,0.003,1.259,4.7874846
UK,2003,6.1737,0.003,1.288,3.2277005
UK,2004,7.3639,0.004,1.939,4.8444605
UK,2005,9.1023,0.008,2.912,4.9229
UK,2006,9.2769,0.011,4.236,4.5934067
UK,2007,9.324501,0.014,5.2738175,5.0773044
UK,2008,9.649278,0.017,7.097248,5.141186
UK,2009,10.714948,0.020000206,9.280972,5.2278924
UK,2010,12.262968,0.0402771,10.285645,3.5913758
UK,2011,13.313794,0.24366343,15.962969,5.69175
UK,2012,14.737997,1.3537636,19.84712,5.309068
UK,2013,18.10489,2.010262,28.397152,4.701509
UK,2014,22.621246,4.0540624,31.959244,5.887849
UK,2015,29.258976,7.532864,40.27472,6.2972684
UK,2016,30.065535,10.407928,37.159424,5.3705845
UK,2017,31.89828,11.45724,49.64115,5.8818
UK,2018,34.97602,12.6684,56.90761,5.4433
UK,2019,37.39568,12.41805,63.83489,5.9329
UK,2020,39.35839,12.90274,75.6149,6.8648
UK,2021,39.88211,12.13796,64.66207,5.4959
UK,2022,35.45089,13.92053,80.16201,5.3157
World,1989,104.66536,0.26222324,2.6497767,2087.588
World,1990,117.21735,0.38834995,3.6324706,2158.854
World,1991,122.25421,0.5053229,4.086107,2208.702
World,1992,131.14992,0.4666791,4.732812,2208.4592
World,1993,135.47186,0.5566775,5.704169,2341.4597
World,1994,140.66844,0.5969829,7.13173,2356.203
World,1995,146.63136,0.63888276,8.272123,2483.6868
World,1996,150.6927,0.69922996,9.215601,2517.03
World,1997,161.40073,0.7496558,12.028216,2561.359
World,1998,168.2064,0.811852,15.92926,2581.1204
World,1999,176.63608,0.9052879,21.226898,2600.65
World,2000,184.89665,1.0594312,31.409636,2646.7285
World,2001,192.05826,1.4237884,38.380093,2578.737
World,2002,206.70955,1.7994766,52.381878,2626.306
World,2003,218.39073,2.255641,63.2847,2623.0532
World,2004,236.05714,2.9718347,85.618484,2816.6147
World,2005,255.4333,4.187687,104.62774,2911.3308
World,2006,272.0138,5.762825,133.5028,3022.2476
World,2007,295.2423,7.818763,171.5083,3072.5112
World,2008,315.8789,12.6981945,221.41554,3251.702
World,2009,339.2694,21.073503,276.79816,3246.445
